,Unnamed: 0,no_households,penalty_weight,no_dependent_tasks,no_fully_flexible_tasks_min,no_semi_flexible_tasks_min,no_fixed_tasks_min,algorithm,id,init_PAR,PAR,,init_max_demand,max_demand,total_demand,demand_reduction,,cost_reduction,,pricing_time,rescheduling_time,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1
0,0,5000,1,0,10,0,0,minizinc_fw,16,1.22,1.11,0,4112289,3721783.31,161628494,0.09,0,0.09,0,0.016917647,4442.848812,,,
1,1,5000,1,0,10,0,0,ogsa_fw,16,1.22,1.06,-0.05,4112289,3567648.72,161628494,0.13,0.04,0.11,0.02,0.005582857,4.508902857,,,
6,0,5000,1,0,10,0,0,minizinc_fw,16,1.22,1.11,0,4112289,3721783.31,161628494,0.09,0,0.09,0,0.016917647,4442.848812,0,,
7,1,5000,1,0,10,0,0,ogsa_fw,16,1.22,1.06,-0.05,4112289,3567648.72,161628494,0.13,0.04,0.11,0.02,0.005582857,4.508902857,1,,
12,6,5000,1,0,10,0,0,minizinc_fw,16,1.22,1.11,0,4112289,3721783.31,161628494,0.09,0,0.09,0,0.016917647,4442.848812,0,0,
13,7,5000,1,0,10,0,0,ogsa_fw,16,1.22,1.06,-0.05,4112289,3567648.72,161628494,0.13,0.04,0.11,0.02,0.005582857,4.508902857,1,1,
18,12,5000,1,0,10,0,0,minizinc_fw,16,1.22,1.11,0,4112289,3721783.31,161628494,0.09,0,0.09,0,0.016917647,4442.848812,6,0,0
19,13,5000,1,0,10,0,0,ogsa_fw,16,1.22,1.06,-0.05,4112289,3567648.72,161628494,0.13,0.04,0.11,0.02,0.005582857,4.508902857,7,1,1
48,42,5000,1,0,10,0,0,minizinc_fw,11,1.18,1.11,0,4066320,3795073.93,164724233,0.07,0,0.1,0,0.016554545,5192.387255,36,30,0
49,43,5000,1,0,10,0,0,ogsa_fw,11,1.18,1.05,-0.06,4066320,3613509.19,164724233,0.11,0.04,0.13,0.03,0.00595,4.93835,37,31,1
52,46,5000,1,0,10,0,0,minizinc_fw,21,1.19,1.1,0,3978759,3684786.34,160629046,0.07,0,0.11,0,0.017592308,4590.700762,40,34,0
53,47,5000,1,0,10,0,0,ogsa_fw,21,1.19,1.04,-0.06,3978759,3493502.9,160629046,0.12,0.05,0.14,0.03,0.006125926,4.632344444,41,35,1
82,76,5000,1,0,10,0,0,minizinc_fw,11,1.18,1.11,0,4066320,3795073.93,164724233,0.07,0,0.1,0,0.016554545,5192.387255,70,0,
83,77,5000,1,0,10,0,0,ogsa_fw,11,1.18,1.05,-0.06,4066320,3613509.19,164724233,0.11,0.04,0.13,0.03,0.00595,4.93835,71,1,
86,80,5000,1,0,10,0,0,minizinc_fw,21,1.19,1.1,0,3978759,3684786.34,160629046,0.07,0,0.11,0,0.017592308,4590.700762,74,0,
87,81,5000,1,0,10,0,0,ogsa_fw,21,1.19,1.04,-0.06,3978759,3493502.9,160629046,0.12,0.05,0.14,0.03,0.006125926,4.632344444,75,1,
116,110,5000,1,0,10,0,0,minizinc_fw,11,1.18,1.11,0,4066320,3795073.93,164724233,0.07,0,0.1,0,0.016554545,5192.387255,0,,
117,111,5000,1,0,10,0,0,ogsa_fw,11,1.18,1.05,-0.06,4066320,3613509.19,164724233,0.11,0.04,0.13,0.03,0.00595,4.93835,1,,
120,114,5000,1,0,10,0,0,minizinc_fw,21,1.19,1.1,0,3978759,3684786.34,160629046,0.07,0,0.11,0,0.017592308,4590.700762,0,,
121,115,5000,1,0,10,0,0,ogsa_fw,21,1.19,1.04,-0.06,3978759,3493502.9,160629046,0.12,0.05,0.14,0.03,0.006125926,4.632344444,1,,
150,0,5000,1,0,10,0,0,minizinc_fw,11,1.18,1.11,0,4066320,3795073.93,164724233,0.07,0,0.1,0,0.016554545,5192.387255,,,
151,1,5000,1,0,10,0,0,ogsa_fw,11,1.18,1.05,-0.06,4066320,3613509.19,164724233,0.11,0.04,0.13,0.03,0.00595,4.93835,,,
154,0,5000,1,0,10,0,0,minizinc_fw,21,1.19,1.1,0,3978759,3684786.34,160629046,0.07,0,0.11,0,0.017592308,4590.700762,,,
155,1,5000,1,0,10,0,0,ogsa_fw,21,1.19,1.04,-0.06,3978759,3493502.9,160629046,0.12,0.05,0.14,0.03,0.006125926,4.632344444,,,
4,0,5000,1,1,10,0,0,minizinc_fw,12,1.21,1.13,0,4072235,3792997.01,161736364,0.07,0,0.08,0,0.022027273,3770.013618,,,
5,1,5000,1,1,10,0,0,ogsa_fw,12,1.21,1.08,-0.05,4072235,3635490.5,161736364,0.11,0.04,0.1,0.02,0.007240909,4.287745455,,,
10,4,5000,1,1,10,0,0,minizinc_fw,12,1.21,1.13,0,4072235,3792997.01,161736364,0.07,0,0.08,0,0.022027273,3770.013618,0,,
11,5,5000,1,1,10,0,0,ogsa_fw,12,1.21,1.08,-0.05,4072235,3635490.5,161736364,0.11,0.04,0.1,0.02,0.007240909,4.287745455,1,,
16,10,5000,1,1,10,0,0,minizinc_fw,12,1.21,1.13,0,4072235,3792997.01,161736364,0.07,0,0.08,0,0.022027273,3770.013618,4,0,
17,11,5000,1,1,10,0,0,ogsa_fw,12,1.21,1.08,-0.05,4072235,3635490.5,161736364,0.11,0.04,0.1,0.02,0.007240909,4.287745455,5,1,
22,16,5000,1,1,10,0,0,minizinc_fw,12,1.21,1.13,0,4072235,3792997.01,161736364,0.07,0,0.08,0,0.022027273,3770.013618,10,4,0
23,17,5000,1,1,10,0,0,ogsa_fw,12,1.21,1.08,-0.05,4072235,3635490.5,161736364,0.11,0.04,0.1,0.02,0.007240909,4.287745455,11,5,1
32,26,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,0,3940537,3698044.82,164285749,0.06,0,0.13,0,0.01831875,5622.915588,20,14,0
33,27,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,-0.05,3940537,3520829.97,164285749,0.11,0.05,0.15,0.02,0.006436,4.410256,21,15,1
42,36,5000,1,1,10,0,0,minizinc_fw,22,1.2,1.13,0,4087782,3851031.99,162940010,0.06,0,0.1,0,0.01772,5096.57998,30,24,0
43,37,5000,1,1,10,0,0,ogsa_fw,22,1.2,1.04,-0.09,4087782,3527353.88,162940010,0.14,0.08,0.12,0.02,0.006840741,4.955996296,31,25,1
44,38,5000,1,1,10,0,0,minizinc_fw,17,1.24,1.17,0,4147771,3941437.74,161104483,0.05,0,0.06,0,0.020042857,4258.272857,32,26,0
45,39,5000,1,1,10,0,0,ogsa_fw,17,1.24,1.09,-0.08,4147771,3658842.94,161104483,0.12,0.07,0.09,0.03,0.007342308,4.375403846,33,27,1
66,60,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,0,3940537,3698044.82,164285749,0.06,0,0.13,0,0.01831875,5622.915588,54,0,
67,61,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,-0.05,3940537,3520829.97,164285749,0.11,0.05,0.15,0.02,0.006436,4.410256,55,1,
76,70,5000,1,1,10,0,0,minizinc_fw,22,1.2,1.13,0,4087782,3851031.99,162940010,0.06,0,0.1,0,0.01772,5096.57998,64,0,
77,71,5000,1,1,10,0,0,ogsa_fw,22,1.2,1.04,-0.09,4087782,3527353.88,162940010,0.14,0.08,0.12,0.02,0.006840741,4.955996296,65,1,
78,72,5000,1,1,10,0,0,minizinc_fw,17,1.24,1.17,0,4147771,3941437.74,161104483,0.05,0,0.06,0,0.020042857,4258.272857,66,0,
79,73,5000,1,1,10,0,0,ogsa_fw,17,1.24,1.09,-0.08,4147771,3658842.94,161104483,0.12,0.07,0.09,0.03,0.007342308,4.375403846,67,1,
100,94,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,0,3940537,3698044.82,164285749,0.06,0,0.13,0,0.01831875,5622.915588,0,,
101,95,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,-0.05,3940537,3520829.97,164285749,0.11,0.05,0.15,0.02,0.006436,4.410256,1,,
110,104,5000,1,1,10,0,0,minizinc_fw,22,1.2,1.13,0,4087782,3851031.99,162940010,0.06,0,0.1,0,0.01772,5096.57998,0,,
111,105,5000,1,1,10,0,0,ogsa_fw,22,1.2,1.04,-0.09,4087782,3527353.88,162940010,0.14,0.08,0.12,0.02,0.006840741,4.955996296,1,,
112,106,5000,1,1,10,0,0,minizinc_fw,17,1.24,1.17,0,4147771,3941437.74,161104483,0.05,0,0.06,0,0.020042857,4258.272857,0,,
113,107,5000,1,1,10,0,0,ogsa_fw,17,1.24,1.09,-0.08,4147771,3658842.94,161104483,0.12,0.07,0.09,0.03,0.007342308,4.375403846,1,,
134,0,5000,1,1,10,0,0,minizinc_fw,7,1.15,1.08,0,3940537,3698044.82,164285749,0.06,0,0.13,0,0.01831875,5622.915588,,,
135,1,5000,1,1,10,0,0,ogsa_fw,7,1.15,1.03,-0.05,3940537,3520829.97,164285749,0.11,0.05,0.15,0.02,0.006436,4.410256,,,
144,0,5000,1,1,10,0,0,minizinc_fw,22,1.2,1.13,0,4087782,3851031.99,162940010,0.06,0,0.1,0,0.01772,5096.57998,,,
145,1,5000,1,1,10,0,0,ogsa_fw,22,1.2,1.04,-0.09,4087782,3527353.88,162940010,0.14,0.08,0.12,0.02,0.006840741,4.955996296,,,
146,0,5000,1,1,10,0,0,minizinc_fw,17,1.24,1.17,0,4147771,3941437.74,161104483,0.05,0,0.06,0,0.020042857,4258.272857,,,
147,1,5000,1,1,10,0,0,ogsa_fw,17,1.24,1.09,-0.08,4147771,3658842.94,161104483,0.12,0.07,0.09,0.03,0.007342308,4.375403846,,,
30,24,5000,1,3,10,0,0,minizinc_fw,8,1.18,1.1,0,4014031,3763916.31,163810593,0.06,0,0.11,0,0.017518182,4362.1509,18,12,0
31,25,5000,1,3,10,0,0,ogsa_fw,8,1.18,1.02,-0.08,4014031,3496384.28,163810593,0.13,0.07,0.13,0.02,0.005665517,4.667255172,19,13,1
36,30,5000,1,3,10,0,0,minizinc_fw,23,1.22,1.11,0,4075016,3716666.96,160059619,0.09,0,0.09,0,0.030053333,4781.366667,24,18,0
37,31,5000,1,3,10,0,0,ogsa_fw,23,1.22,1.04,-0.07,4075016,3475999.23,160059619,0.15,0.06,0.11,0.02,0.006862162,4.638705405,25,19,1
40,34,5000,1,3,10,0,0,minizinc_fw,13,1.24,1.16,0,4142552,3893392.96,161004077,0.06,0,0.07,0,0.017225,5550.356238,28,22,0
41,35,5000,1,3,10,0,0,ogsa_fw,13,1.24,1.08,-0.08,4142552,3625327.89,161004077,0.12,0.06,0.1,0.03,0.00685,4.555566667,29,23,1
56,50,5000,1,3,10,0,0,minizinc_fw,18,1.2,1.1,0,4026422,3687077.4,160662785,0.08,0,0.11,0,0.0181,6642.14996,44,38,0
57,51,5000,1,3,10,0,0,ogsa_fw,18,1.2,1.03,-0.07,4026422,3447785.54,160662785,0.14,0.06,0.14,0.03,0.007996296,4.695988889,45,39,1
64,58,5000,1,3,10,0,0,minizinc_fw,8,1.18,1.1,0,4014031,3763916.31,163810593,0.06,0,0.11,0,0.017518182,4362.1509,52,0,
65,59,5000,1,3,10,0,0,ogsa_fw,8,1.18,1.02,-0.08,4014031,3496384.28,163810593,0.13,0.07,0.13,0.02,0.005665517,4.667255172,53,1,
70,64,5000,1,3,10,0,0,minizinc_fw,23,1.22,1.11,0,4075016,3716666.96,160059619,0.09,0,0.09,0,0.030053333,4781.366667,58,0,
71,65,5000,1,3,10,0,0,ogsa_fw,23,1.22,1.04,-0.07,4075016,3475999.23,160059619,0.15,0.06,0.11,0.02,0.006862162,4.638705405,59,1,
74,68,5000,1,3,10,0,0,minizinc_fw,13,1.24,1.16,0,4142552,3893392.96,161004077,0.06,0,0.07,0,0.017225,5550.356238,62,0,
75,69,5000,1,3,10,0,0,ogsa_fw,13,1.24,1.08,-0.08,4142552,3625327.89,161004077,0.12,0.06,0.1,0.03,0.00685,4.555566667,63,1,
90,84,5000,1,3,10,0,0,minizinc_fw,18,1.2,1.1,0,4026422,3687077.4,160662785,0.08,0,0.11,0,0.0181,6642.14996,78,0,
91,85,5000,1,3,10,0,0,ogsa_fw,18,1.2,1.03,-0.07,4026422,3447785.54,160662785,0.14,0.06,0.14,0.03,0.007996296,4.695988889,79,1,
98,92,5000,1,3,10,0,0,minizinc_fw,8,1.18,1.1,0,4014031,3763916.31,163810593,0.06,0,0.11,0,0.017518182,4362.1509,0,,
99,93,5000,1,3,10,0,0,ogsa_fw,8,1.18,1.02,-0.08,4014031,3496384.28,163810593,0.13,0.07,0.13,0.02,0.005665517,4.667255172,1,,
104,98,5000,1,3,10,0,0,minizinc_fw,23,1.22,1.11,0,4075016,3716666.96,160059619,0.09,0,0.09,0,0.030053333,4781.366667,0,,
105,99,5000,1,3,10,0,0,ogsa_fw,23,1.22,1.04,-0.07,4075016,3475999.23,160059619,0.15,0.06,0.11,0.02,0.006862162,4.638705405,1,,
108,102,5000,1,3,10,0,0,minizinc_fw,13,1.24,1.16,0,4142552,3893392.96,161004077,0.06,0,0.07,0,0.017225,5550.356238,0,,
109,103,5000,1,3,10,0,0,ogsa_fw,13,1.24,1.08,-0.08,4142552,3625327.89,161004077,0.12,0.06,0.1,0.03,0.00685,4.555566667,1,,
124,118,5000,1,3,10,0,0,minizinc_fw,18,1.2,1.1,0,4026422,3687077.4,160662785,0.08,0,0.11,0,0.0181,6642.14996,0,,
125,119,5000,1,3,10,0,0,ogsa_fw,18,1.2,1.03,-0.07,4026422,3447785.54,160662785,0.14,0.06,0.14,0.03,0.007996296,4.695988889,1,,
132,0,5000,1,3,10,0,0,minizinc_fw,8,1.18,1.1,0,4014031,3763916.31,163810593,0.06,0,0.11,0,0.017518182,4362.1509,,,
133,1,5000,1,3,10,0,0,ogsa_fw,8,1.18,1.02,-0.08,4014031,3496384.28,163810593,0.13,0.07,0.13,0.02,0.005665517,4.667255172,,,
138,0,5000,1,3,10,0,0,minizinc_fw,23,1.22,1.11,0,4075016,3716666.96,160059619,0.09,0,0.09,0,0.030053333,4781.366667,,,
139,1,5000,1,3,10,0,0,ogsa_fw,23,1.22,1.04,-0.07,4075016,3475999.23,160059619,0.15,0.06,0.11,0.02,0.006862162,4.638705405,,,
142,0,5000,1,3,10,0,0,minizinc_fw,13,1.24,1.16,0,4142552,3893392.96,161004077,0.06,0,0.07,0,0.017225,5550.356238,,,
143,1,5000,1,3,10,0,0,ogsa_fw,13,1.24,1.08,-0.08,4142552,3625327.89,161004077,0.12,0.06,0.1,0.03,0.00685,4.555566667,,,
158,0,5000,1,3,10,0,0,minizinc_fw,18,1.2,1.1,0,4026422,3687077.4,160662785,0.08,0,0.11,0,0.0181,6642.14996,,,
159,1,5000,1,3,10,0,0,ogsa_fw,18,1.2,1.03,-0.07,4026422,3447785.54,160662785,0.14,0.06,0.14,0.03,0.007996296,4.695988889,,,
2,0,5000,1,6,10,0,0,minizinc_fw,4,1.24,1.11,0,4167285,3705642.38,160742393,0.11,0,0.1,0,0.016965,6711.192945,,,
3,1,5000,1,6,10,0,0,ogsa_fw,4,1.21,1.03,-0.08,4174686,3535001.22,164949691,0.15,0.04,0.1,0,0.005930303,4.703321212,,,
8,2,5000,1,6,10,0,0,minizinc_fw,4,1.24,1.11,0,4167285,3705642.38,160742393,0.11,0,0.1,0,0.016965,6711.192945,0,,
9,3,5000,1,6,10,0,0,ogsa_fw,4,1.21,1.03,-0.08,4174686,3535001.22,164949691,0.15,0.04,0.1,0,0.005930303,4.703321212,1,,
14,8,5000,1,6,10,0,0,minizinc_fw,4,1.24,1.11,0,4167285,3705642.38,160742393,0.11,0,0.1,0,0.016965,6711.192945,2,0,
15,9,5000,1,6,10,0,0,ogsa_fw,4,1.21,1.03,-0.08,4174686,3535001.22,164949691,0.15,0.04,0.1,0,0.005930303,4.703321212,3,1,
20,14,5000,1,6,10,0,0,minizinc_fw,4,1.24,1.11,0,4167285,3705642.38,160742393,0.11,0,0.1,0,0.016965,6711.192945,8,2,0
21,15,5000,1,6,10,0,0,ogsa_fw,4,1.21,1.03,-0.08,4174686,3535001.22,164949691,0.15,0.04,0.1,0,0.005930303,4.703321212,9,3,1
24,18,5000,1,6,10,0,0,minizinc_fw,14,1.2,1.08,0,3994580,3590346.49,159713784,0.1,0,0.1,0,0.017194118,5438.268812,12,6,0
25,19,5000,1,6,10,0,0,ogsa_fw,14,1.2,1.03,-0.05,3994580,3423787.25,159713784,0.14,0.04,0.12,0.02,0.006727586,5.063531034,13,7,1
28,22,5000,1,6,10,0,0,minizinc_fw,9,1.27,1.18,0,4264142,3963805.24,161350720,0.07,0,0.07,0,0.0256,5378.062475,16,10,0
29,23,5000,1,6,10,0,0,ogsa_fw,9,1.27,1.08,-0.1,4264142,3624129.13,161350720,0.15,0.08,0.09,0.02,0.009133333,4.469437037,17,11,1
34,28,5000,1,6,10,0,0,minizinc_fw,19,1.18,1.12,0,3935130,3745785.64,160491435,0.05,0,0.13,0,0.04524,4449.25999,22,16,0
35,29,5000,1,6,10,0,0,ogsa_fw,19,1.18,1.02,-0.1,3935130,3417404.72,160491435,0.13,0.08,0.15,0.02,0.006832,4.70856,23,17,1
38,32,5000,1,6,10,0,0,minizinc_fw,24,1.21,1.13,0,4066352,3810322.23,161184526,0.06,0,0.09,0,0.018883333,5749.814967,26,20,0
39,33,5000,1,6,10,0,0,ogsa_fw,24,1.21,1.04,-0.09,4066352,3485523.39,161184526,0.14,0.08,0.13,0.04,0.008808696,4.434613043,27,21,1
58,52,5000,1,6,10,0,0,minizinc_fw,14,1.2,1.08,0,3994580,3590346.49,159713784,0.1,0,0.1,0,0.017194118,5438.268812,46,0,
59,53,5000,1,6,10,0,0,ogsa_fw,14,1.2,1.03,-0.05,3994580,3423787.25,159713784,0.14,0.04,0.12,0.02,0.006727586,5.063531034,47,1,
62,56,5000,1,6,10,0,0,minizinc_fw,9,1.27,1.18,0,4264142,3963805.24,161350720,0.07,0,0.07,0,0.0256,5378.062475,50,0,
63,57,5000,1,6,10,0,0,ogsa_fw,9,1.27,1.08,-0.1,4264142,3624129.13,161350720,0.15,0.08,0.09,0.02,0.009133333,4.469437037,51,1,
68,62,5000,1,6,10,0,0,minizinc_fw,19,1.18,1.12,0,3935130,3745785.64,160491435,0.05,0,0.13,0,0.04524,4449.25999,56,0,
69,63,5000,1,6,10,0,0,ogsa_fw,19,1.18,1.02,-0.1,3935130,3417404.72,160491435,0.13,0.08,0.15,0.02,0.006832,4.70856,57,1,
72,66,5000,1,6,10,0,0,minizinc_fw,24,1.21,1.13,0,4066352,3810322.23,161184526,0.06,0,0.09,0,0.018883333,5749.814967,60,0,
73,67,5000,1,6,10,0,0,ogsa_fw,24,1.21,1.04,-0.09,4066352,3485523.39,161184526,0.14,0.08,0.13,0.04,0.008808696,4.434613043,61,1,
92,86,5000,1,6,10,0,0,minizinc_fw,14,1.2,1.08,0,3994580,3590346.49,159713784,0.1,0,0.1,0,0.017194118,5438.268812,0,,
93,87,5000,1,6,10,0,0,ogsa_fw,14,1.2,1.03,-0.05,3994580,3423787.25,159713784,0.14,0.04,0.12,0.02,0.006727586,5.063531034,1,,
96,90,5000,1,6,10,0,0,minizinc_fw,9,1.27,1.18,0,4264142,3963805.24,161350720,0.07,0,0.07,0,0.0256,5378.062475,0,,
97,91,5000,1,6,10,0,0,ogsa_fw,9,1.27,1.08,-0.1,4264142,3624129.13,161350720,0.15,0.08,0.09,0.02,0.009133333,4.469437037,1,,
102,96,5000,1,6,10,0,0,minizinc_fw,19,1.18,1.12,0,3935130,3745785.64,160491435,0.05,0,0.13,0,0.04524,4449.25999,0,,
103,97,5000,1,6,10,0,0,ogsa_fw,19,1.18,1.02,-0.1,3935130,3417404.72,160491435,0.13,0.08,0.15,0.02,0.006832,4.70856,1,,
106,100,5000,1,6,10,0,0,minizinc_fw,24,1.21,1.13,0,4066352,3810322.23,161184526,0.06,0,0.09,0,0.018883333,5749.814967,0,,
107,101,5000,1,6,10,0,0,ogsa_fw,24,1.21,1.04,-0.09,4066352,3485523.39,161184526,0.14,0.08,0.13,0.04,0.008808696,4.434613043,1,,
126,0,5000,1,6,10,0,0,minizinc_fw,14,1.2,1.08,0,3994580,3590346.49,159713784,0.1,0,0.1,0,0.017194118,5438.268812,,,
127,1,5000,1,6,10,0,0,ogsa_fw,14,1.2,1.03,-0.05,3994580,3423787.25,159713784,0.14,0.04,0.12,0.02,0.006727586,5.063531034,,,
130,0,5000,1,6,10,0,0,minizinc_fw,9,1.27,1.18,0,4264142,3963805.24,161350720,0.07,0,0.07,0,0.0256,5378.062475,,,
131,1,5000,1,6,10,0,0,ogsa_fw,9,1.27,1.08,-0.1,4264142,3624129.13,161350720,0.15,0.08,0.09,0.02,0.009133333,4.469437037,,,
136,0,5000,1,6,10,0,0,minizinc_fw,19,1.18,1.12,0,3935130,3745785.64,160491435,0.05,0,0.13,0,0.04524,4449.25999,,,
137,1,5000,1,6,10,0,0,ogsa_fw,19,1.18,1.02,-0.1,3935130,3417404.72,160491435,0.13,0.08,0.15,0.02,0.006832,4.70856,,,
140,0,5000,1,6,10,0,0,minizinc_fw,24,1.21,1.13,0,4066352,3810322.23,161184526,0.06,0,0.09,0,0.018883333,5749.814967,,,
141,1,5000,1,6,10,0,0,ogsa_fw,24,1.21,1.04,-0.09,4066352,3485523.39,161184526,0.14,0.08,0.13,0.04,0.008808696,4.434613043,,,
26,20,5000,1,9,10,0,0,minizinc_fw,20,1.2,1.12,0,4037331,3764453.44,161599524,0.07,0,0.11,0,0.02335,7272.223283,14,8,0
27,21,5000,1,9,10,0,0,ogsa_fw,20,1.2,1.03,-0.09,4037331,3454525.68,161599524,0.14,0.07,0.13,0.02,0.007351724,4.403541379,15,9,1
46,40,5000,1,9,10,0,0,minizinc_fw,25,1.2,1.15,0,4037655,3852775.57,161131015,0.05,0,0.09,0,0.0188625,5839.73745,34,28,0
47,41,5000,1,9,10,0,0,ogsa_fw,25,1.2,1.04,-0.11,4037655,3489079.13,161131015,0.14,0.09,0.12,0.03,0.008004348,4.990682609,35,29,1
50,44,5000,1,9,10,0,0,minizinc_fw,15,1.15,1.07,0,3854562,3613897.81,161455373,0.06,0,0.13,0,0.017116667,5246.834975,38,32,0
51,45,5000,1,9,10,0,0,ogsa_fw,15,1.15,1.01,-0.06,3854562,3413675.99,161455373,0.11,0.05,0.14,0.01,0.008191667,4.815495833,39,33,1
54,48,5000,1,9,10,0,0,minizinc_fw,10,1.25,1.15,0,4247562,3877919.88,162456915,0.09,0,0.08,0,0.01972,5189.34999,42,36,0
55,49,5000,1,9,10,0,0,ogsa_fw,10,1.25,1.03,-0.12,4247562,3486434.95,162456915,0.18,0.09,0.1,0.02,0.007513333,5.08389,43,37,1
60,54,5000,1,9,10,0,0,minizinc_fw,20,1.2,1.12,0,4037331,3764453.44,161599524,0.07,0,0.11,0,0.02335,7272.223283,48,0,
61,55,5000,1,9,10,0,0,ogsa_fw,20,1.2,1.03,-0.09,4037331,3454525.68,161599524,0.14,0.07,0.13,0.02,0.007351724,4.403541379,49,1,
80,74,5000,1,9,10,0,0,minizinc_fw,25,1.2,1.15,0,4037655,3852775.57,161131015,0.05,0,0.09,0,0.0188625,5839.73745,68,0,
81,75,5000,1,9,10,0,0,ogsa_fw,25,1.2,1.04,-0.11,4037655,3489079.13,161131015,0.14,0.09,0.12,0.03,0.008004348,4.990682609,69,1,
84,78,5000,1,9,10,0,0,minizinc_fw,15,1.15,1.07,0,3854562,3613897.81,161455373,0.06,0,0.13,0,0.017116667,5246.834975,72,0,
85,79,5000,1,9,10,0,0,ogsa_fw,15,1.15,1.01,-0.06,3854562,3413675.99,161455373,0.11,0.05,0.14,0.01,0.008191667,4.815495833,73,1,
88,82,5000,1,9,10,0,0,minizinc_fw,10,1.25,1.15,0,4247562,3877919.88,162456915,0.09,0,0.08,0,0.01972,5189.34999,76,0,
89,83,5000,1,9,10,0,0,ogsa_fw,10,1.25,1.03,-0.12,4247562,3486434.95,162456915,0.18,0.09,0.1,0.02,0.007513333,5.08389,77,1,
94,88,5000,1,9,10,0,0,minizinc_fw,20,1.2,1.12,0,4037331,3764453.44,161599524,0.07,0,0.11,0,0.02335,7272.223283,0,,
95,89,5000,1,9,10,0,0,ogsa_fw,20,1.2,1.03,-0.09,4037331,3454525.68,161599524,0.14,0.07,0.13,0.02,0.007351724,4.403541379,1,,
114,108,5000,1,9,10,0,0,minizinc_fw,25,1.2,1.15,0,4037655,3852775.57,161131015,0.05,0,0.09,0,0.0188625,5839.73745,0,,
115,109,5000,1,9,10,0,0,ogsa_fw,25,1.2,1.04,-0.11,4037655,3489079.13,161131015,0.14,0.09,0.12,0.03,0.008004348,4.990682609,1,,
118,112,5000,1,9,10,0,0,minizinc_fw,15,1.15,1.07,0,3854562,3613897.81,161455373,0.06,0,0.13,0,0.017116667,5246.834975,0,,
119,113,5000,1,9,10,0,0,ogsa_fw,15,1.15,1.01,-0.06,3854562,3413675.99,161455373,0.11,0.05,0.14,0.01,0.008191667,4.815495833,1,,
122,116,5000,1,9,10,0,0,minizinc_fw,10,1.25,1.15,0,4247562,3877919.88,162456915,0.09,0,0.08,0,0.01972,5189.34999,0,,
123,117,5000,1,9,10,0,0,ogsa_fw,10,1.25,1.03,-0.12,4247562,3486434.95,162456915,0.18,0.09,0.1,0.02,0.007513333,5.08389,1,,
128,0,5000,1,9,10,0,0,minizinc_fw,20,1.2,1.12,0,4037331,3764453.44,161599524,0.07,0,0.11,0,0.02335,7272.223283,,,
129,1,5000,1,9,10,0,0,ogsa_fw,20,1.2,1.03,-0.09,4037331,3454525.68,161599524,0.14,0.07,0.13,0.02,0.007351724,4.403541379,,,
148,0,5000,1,9,10,0,0,minizinc_fw,25,1.2,1.15,0,4037655,3852775.57,161131015,0.05,0,0.09,0,0.0188625,5839.73745,,,
149,1,5000,1,9,10,0,0,ogsa_fw,25,1.2,1.04,-0.11,4037655,3489079.13,161131015,0.14,0.09,0.12,0.03,0.008004348,4.990682609,,,
152,0,5000,1,9,10,0,0,minizinc_fw,15,1.15,1.07,0,3854562,3613897.81,161455373,0.06,0,0.13,0,0.017116667,5246.834975,,,
153,1,5000,1,9,10,0,0,ogsa_fw,15,1.15,1.01,-0.06,3854562,3413675.99,161455373,0.11,0.05,0.14,0.01,0.008191667,4.815495833,,,
156,0,5000,1,9,10,0,0,minizinc_fw,10,1.25,1.15,0,4247562,3877919.88,162456915,0.09,0,0.08,0,0.01972,5189.34999,,,
157,1,5000,1,9,10,0,0,ogsa_fw,10,1.25,1.03,-0.12,4247562,3486434.95,162456915,0.18,0.09,0.1,0.02,0.007513333,5.08389,,,